,Year,Team,Wins,Losses,Draws,TeamsBeat,TeamsDraw,TeamsLoss,GoalsFor,GoalsAgainst
241,1994,KOR,0,1,2,[],"['ESP', 'BOL']",['DEU'],4.0,5.0
242,1994,DEU,3,1,1,"['BOL', 'KOR', 'BEL']",['ESP'],['BGR'],9.0,7.0
243,1994,BOL,0,2,1,[],['KOR'],"['DEU', 'ESP']",1.0,4.0
244,1994,USA,1,2,1,['COL'],['CHE'],"['ROU', 'BRA']",3.0,4.0
245,1994,CHE,1,2,1,['ROU'],['USA'],"['COL', 'ESP']",5.0,7.0
246,1994,ITA,4,1,2,"['NOR', 'NGA', 'ESP', 'BGR']","['MEX', 'BRA']",['IRL'],8.0,5.0
247,1994,IRL,1,2,1,['ITA'],['NOR'],"['MEX', 'NLD']",2.0,4.0
248,1994,COL,1,2,0,['CHE'],[],"['ROU', 'USA']",4.0,5.0
249,1994,ROU,3,1,1,"['COL', 'USA', 'ARG']",['SWE'],['CHE'],10.0,9.0
250,1994,BEL,2,2,0,"['MAR', 'NLD']",[],"['SAU', 'DEU']",4.0,4.0
251,1994,MAR,0,3,0,[],[],"['BEL', 'SAU', 'NLD']",2.0,5.0
252,1994,NOR,1,1,1,['MEX'],['IRL'],['ITA'],1.0,1.0
253,1994,MEX,1,1,2,['IRL'],"['ITA', 'BGR']",['NOR'],4.0,4.0
254,1994,CMR,0,2,1,[],['SWE'],"['BRA', 'RUS']",3.0,11.0
255,1994,SWE,3,1,3,"['RUS', 'SAU', 'BGR']","['CMR', 'BRA', 'ROU']",['BRA'],15.0,8.0
256,1994,NLD,3,2,0,"['SAU', 'MAR', 'IRL']",[],"['BEL', 'BRA']",8.0,6.0
257,1994,SAU,2,2,0,"['MAR', 'BEL']",[],"['NLD', 'SWE']",5.0,6.0
258,1994,BRA,5,0,2,"['RUS', 'CMR', 'USA', 'NLD', 'SWE']","['SWE', 'ITA']",[],11.0,3.0
259,1994,RUS,1,2,0,['CMR'],[],"['BRA', 'SWE']",7.0,6.0
260,1994,ARG,2,2,0,"['GRC', 'NGA']",[],"['BGR', 'ROU']",8.0,6.0
261,1994,GRC,0,3,0,[],[],"['ARG', 'BGR', 'NGA']",0.0,10.0
262,1994,NGA,2,2,0,"['BGR', 'GRC']",[],"['ARG', 'ITA']",7.0,4.0
263,1994,BGR,3,3,1,"['GRC', 'ARG', 'DEU']",['MEX'],"['NGA', 'ITA', 'SWE']",10.0,11.0
264,1998,BRA,4,2,1,"['SCT', 'MAR', 'CHL', 'DNK']",['NLD'],"['NOR', 'FRA']",14.0,10.0
265,1998,SCT,0,2,1,[],['NOR'],"['BRA', 'MAR']",2.0,6.0
266,1998,MAR,1,1,1,['SCT'],['NOR'],['BRA'],5.0,5.0
267,1998,NOR,1,1,2,['BRA'],"['MAR', 'SCT']",['ITA'],5.0,5.0
268,1998,ITA,3,0,2,"['CMR', 'AUT', 'NOR']","['CHL', 'FRA']",[],8.0,3.0
269,1998,CHL,0,1,3,[],"['ITA', 'AUT', 'CMR']",['BRA'],5.0,8.0
270,1998,CMR,0,1,2,[],"['AUT', 'CHL']",['ITA'],2.0,5.0
271,1998,AUT,0,1,2,[],"['CMR', 'CHL']",['ITA'],3.0,4.0
272,1998,PRY,1,1,2,['NGA'],"['BGR', 'ESP']",['FRA'],3.0,2.0
273,1998,BGR,0,2,1,[],['PRY'],"['NGA', 'ESP']",1.0,7.0
274,1998,SAU,0,2,1,[],['ZAF'],"['DNK', 'FRA']",2.0,7.0
275,1998,DNK,2,2,1,"['SAU', 'NGA']",['ZAF'],"['FRA', 'BRA']",9.0,7.0
276,1998,FRA,6,0,1,"['ZAF', 'SAU', 'DNK', 'PRY', 'HRV', 'BRA']",['ITA'],[],15.0,2.0
277,1998,ZAF,0,1,2,[],"['DNK', 'SAU']",['FRA'],3.0,6.0
278,1998,ESP,1,1,1,['BGR'],['PRY'],['NGA'],8.0,4.0
279,1998,NGA,2,2,0,"['ESP', 'BGR']",[],"['PRY', 'DNK']",6.0,9.0
280,1998,KOR,0,2,1,[],['BEL'],"['MEX', 'NLD']",2.0,9.0
281,1998,MEX,1,1,2,['KOR'],"['BEL', 'NLD']",['DEU'],8.0,7.0
282,1998,NLD,3,1,3,"['KOR', 'YUG', 'ARG']","['BEL', 'MEX', 'BRA']",['HRV'],13.0,7.0
283,1998,BEL,0,0,3,[],"['NLD', 'MEX', 'KOR']",[],3.0,3.0
284,1998,ARG,3,1,1,"['JPN', 'JAM', 'HRV']",['ENG'],['NLD'],10.0,4.0
285,1998,JPN,0,3,0,[],[],"['ARG', 'HRV', 'JAM']",1.0,4.0
286,1998,YUG,2,1,1,"['IRN', 'USA']",['DEU'],['NLD'],5.0,4.0
287,1998,IRN,1,2,0,['USA'],[],"['YUG', 'DEU']",2.0,4.0
288,1998,JAM,1,2,0,['JPN'],[],"['HRV', 'ARG']",3.0,9.0
289,1998,HRV,5,2,0,"['JAM', 'JPN', 'ROU', 'DEU', 'NLD']",[],"['ARG', 'FRA']",11.0,5.0
290,1998,ENG,2,1,1,"['TUN', 'COL']",['ARG'],['ROU'],7.0,4.0
291,1998,TUN,0,2,1,[],['ROU'],"['ENG', 'COL']",1.0,4.0
292,1998,ROU,2,1,1,"['COL', 'ENG']",['TUN'],['HRV'],4.0,3.0
293,1998,COL,1,2,0,['TUN'],[],"['ROU', 'ENG']",1.0,3.0
294,1998,DEU,3,1,1,"['USA', 'IRN', 'MEX']",['YUG'],['HRV'],8.0,6.0
295,1998,USA,0,3,0,[],[],"['DEU', 'IRN', 'YUG']",1.0,5.0
296,2002,FRA,0,2,1,[],['URY'],"['SEN', 'DNK']",0.0,3.0
297,2002,SEN,2,1,2,"['FRA', 'SWE']","['DNK', 'URY']",['TUR'],7.0,6.0
298,2002,URY,0,1,2,[],"['FRA', 'SEN']",['DNK'],4.0,5.0
299,2002,DNK,2,1,1,"['URY', 'FRA']",['SEN'],['ENG'],5.0,5.0
