,Year,Home_goals,Away_goals,Home Team,Away Team
829,2014,0,0,NED,ARG
830,2014,0,0,NED,CRC
831,2014,1,0,ARG,BEL
832,2014,2,1,NED,MEX
833,2014,1,1,CRC,GRE
834,2014,1,0,ARG,SUI
835,2014,2,1,BEL,USA
836,2014,1,1,BRA,CHI
837,2014,2,0,COL,URU
838,2014,2,1,NED,MEX
839,2014,1,1,CRC,GRE
840,2014,2,0,FRA,NGA
841,2014,2,1,GER,ALG
842,2014,1,0,ARG,SUI
843,2014,2,1,BEL,USA
844,2014,0,1,FRA,GER
845,2014,2,1,BRA,COL
846,2014,1,0,ARG,BEL
847,2014,0,0,NED,CRC
848,2014,1,7,BRA,GER
849,2014,0,0,NED,ARG
850,2014,0,3,BRA,NED
851,2014,1,0,GER,ARG
852,2018,5,0,RUS,SAU
853,2018,0,1,EGY,URY
854,2018,0,1,MAR,IRN
855,2018,3,3,PRT,ESP
856,2018,2,1,FRA,AUS
857,2018,1,1,ARG,ISL
858,2018,0,1,PER,DNK
859,2018,2,0,HRV,NGA
860,2018,0,1,CRI,SRB
861,2018,0,1,DEU,MEX
862,2018,1,1,BRA,CHE
863,2018,1,0,SWE,KOR
864,2018,3,0,BEL,PAN
865,2018,1,2,TUN,GBR
866,2018,1,2,COL,JPN
867,2018,1,2,POL,SEN
868,2018,3,1,RUS,EGY
869,2018,1,0,PRT,MAR
870,2018,1,0,URY,SAU
871,2018,0,1,IRN,ESP
872,2018,1,1,DNK,AUS
873,2018,1,0,FRA,PER
874,2018,0,3,ARG,HRV
875,2018,2,0,BRA,CRI
876,2018,2,0,NGA,ISL
877,2018,1,2,SRB,CHE
878,2018,5,2,BEL,TUN
879,2018,1,2,KOR,MEX
880,2018,2,1,DEU,SWE
881,2018,6,1,GBR,PAN
882,2018,2,2,JPN,SEN
883,2018,0,3,POL,COL
884,2018,2,1,SAU,EGY
885,2018,3,0,URY,RUS
886,2018,1,1,IRN,PRT
887,2018,2,2,ESP,MAR
888,2018,0,2,AUS,PER
889,2018,0,0,DNK,FRA
890,2018,1,2,NGA,ARG
891,2018,1,2,ISL,HRV
892,2018,0,3,MEX,SWE
893,2018,2,0,KOR,DEU
894,2018,2,2,CHE,CRI
895,2018,0,2,SRB,BRA
896,2018,0,1,SEN,COL
897,2018,0,1,JPN,POL
898,2018,0,1,GBR,BEL
899,2018,1,2,PAN,TUN
900,2018,4,3,FRA,ARG
901,2018,2,1,URY,PRT
902,2018,1,1,ESP,RUS
903,2018,1,1,HRV,DNK
904,2018,2,0,BRA,MEX
905,2018,3,2,BEL,JPN
906,2018,1,0,SWE,CHE
907,2018,1,1,COL,GBR
908,2018,0,2,URY,FRA
909,2018,1,2,BRA,BEL
910,2018,0,2,SWE,GBR
911,2018,2,2,RUS,HRV
912,2018,1,0,FRA,BEL
913,2018,2,1,HRV,GBR
914,2018,2,0,BEL,GBR
915,2018,4,2,HRV,FRA
