,Year,Home_goals,Away_goals,Home Team,Away Team
165,1962,4,2,BRA,CHI
166,1962,1,0,CHI,YUG
167,1962,3,1,BRA,TCH
168,1966,0,0,ENG,URU
169,1966,5,0,FRG,SUI
170,1966,2,0,BRA,BUL
171,1966,3,0,URS,PRK
172,1966,1,1,FRA,MEX
173,1966,3,1,POR,HUN
174,1966,2,1,ARG,ESP
175,1966,2,0,ITA,CHI
176,1966,2,1,URU,FRA
177,1966,2,1,ESP,SUI
178,1966,3,1,HUN,BRA
179,1966,1,1,PRK,CHI
180,1966,3,0,POR,BUL
181,1966,0,0,FRG,ARG
182,1966,1,0,URS,ITA
183,1966,2,0,ENG,MEX
184,1966,0,0,URU,MEX
185,1966,2,0,ARG,SUI
186,1966,3,1,POR,BRA
187,1966,1,0,PRK,ITA
188,1966,2,0,ENG,FRA
189,1966,3,1,HUN,BUL
190,1966,2,1,FRG,ESP
191,1966,2,1,URS,CHI
192,1966,1,0,ENG,ARG
193,1966,4,0,FRG,URU
194,1966,2,1,URS,HUN
195,1966,5,3,POR,PRK
196,1966,2,1,FRG,URS
197,1966,2,1,ENG,POR
198,1966,2,1,POR,URS
199,1966,4,2,ENG,FRG
200,1970,0,0,MEX,URS
201,1970,2,0,URU,ISR
202,1970,3,2,PER,BUL
203,1970,1,0,ENG,ROU
204,1970,1,0,ITA,SWE
205,1970,2,1,FRG,MAR
206,1970,4,1,BRA,TCH
207,1970,3,0,BEL,SLV
208,1970,0,0,URU,ITA
209,1970,3,0,PER,MAR
210,1970,2,1,ROU,TCH
211,1970,4,1,URS,BEL
212,1970,1,1,SWE,ISR
213,1970,5,2,FRG,BUL
214,1970,1,0,BRA,ENG
215,1970,4,0,MEX,SLV
216,1970,1,0,SWE,URU
217,1970,3,1,FRG,PER
218,1970,3,2,BRA,ROU
219,1970,2,0,URS,SLV
220,1970,0,0,ITA,ISR
221,1970,1,1,BUL,MAR
222,1970,1,0,ENG,TCH
223,1970,1,0,MEX,BEL
224,1970,4,1,ITA,MEX
225,1970,3,2,FRG,ENG
226,1970,4,2,BRA,PER
227,1970,1,0,URU,URS
228,1970,3,1,BRA,URU
229,1970,4,3,ITA,FRG
230,1970,1,0,FRG,URU
231,1970,4,1,BRA,ITA
232,1974,0,0,BRA,YUG
233,1974,1,0,FRG,CHI
234,1974,2,0,GDR,AUS
235,1974,0,2,ZAI,SCO
236,1974,0,2,URU,NED
237,1974,0,0,SWE,BUL
238,1974,3,1,ITA,HAI
239,1974,3,2,POL,ARG
240,1974,0,3,AUS,FRG
241,1974,0,0,SCO,BRA
242,1974,1,1,CHI,GDR
243,1974,9,0,YUG,ZAI
244,1974,0,0,NED,SWE
245,1974,1,1,BUL,URU
246,1974,0,7,HAI,POL
247,1974,1,1,ARG,ITA
248,1974,1,1,SCO,YUG
249,1974,0,0,AUS,CHI
250,1974,0,3,ZAI,BRA
251,1974,1,0,GDR,FRG
252,1974,1,4,BUL,NED
253,1974,4,1,ARG,HAI
254,1974,3,0,SWE,URU
255,1974,2,1,POL,ITA
256,1974,0,2,YUG,FRG
257,1974,1,0,BRA,GDR
258,1974,4,0,NED,ARG
259,1974,0,1,SWE,POL
260,1974,1,2,ARG,BRA
261,1974,2,1,POL,YUG
262,1974,0,2,GDR,NED
263,1974,4,2,FRG,SWE
264,1974,0,1,POL,FRG
265,1974,2,0,NED,BRA
266,1974,1,1,ARG,GDR
267,1974,2,1,SWE,YUG
268,1974,0,1,BRA,POL
269,1974,1,2,NED,FRG
270,1978,0,0,FRG,POL
271,1978,2,1,ITA,FRA
272,1978,3,1,TUN,MEX
273,1978,2,1,ARG,HUN
274,1978,1,1,SWE,BRA
275,1978,2,1,AUT,ESP
276,1978,3,1,PER,SCO
277,1978,3,0,NED,IRN
278,1978,3,1,ITA,HUN
279,1978,1,0,POL,TUN
280,1978,6,0,FRG,MEX
281,1978,2,1,ARG,FRA
