Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,GDP Home,GDP Away
1958,0,0,brazil,england,BRA,ENG,,
1958,1,1,mexico,wales,MEX,WLS,,
1958,3,2,paraguay,scotland,PRY,SCT,,
1958,3,2,yugoslavia,france,YUG,FRA,,
1958,2,0,soviet union,austria,SUN,AUT,,
1958,2,2,germany fr,czechoslovakia,DEU,CZE,,
1958,3,1,argentina,northern ireland,ARG,NIL,,
1958,2,1,sweden,hungary,SWE,HUN,,
1958,0,0,sweden,wales,SWE,WLS,,
1958,2,0,brazil,soviet union,BRA,SUN,,
1958,2,2,germany fr,northern ireland,DEU,NIL,,
1958,4,0,hungary,mexico,HUN,MEX,,
1958,3,3,paraguay,yugoslavia,PRY,YUG,,
1958,2,1,france,scotland,FRA,SCT,,
1958,2,2,england,austria,ENG,AUT,,
1958,6,1,czechoslovakia,argentina,CZE,ARG,,
1958,1,0,soviet union,england,SUN,ENG,,
1958,2,1,northern ireland,czechoslovakia,NIL,CZE,,
1958,2,1,wales,hungary,WLS,HUN,,
1958,1,0,brazil,wales,BRA,WLS,,
1958,1,0,germany fr,yugoslavia,DEU,YUG,,
1958,2,0,sweden,soviet union,SWE,SUN,,
1958,4,0,france,northern ireland,FRA,NIL,,
1958,3,1,sweden,germany fr,SWE,DEU,,
1958,5,2,brazil,france,BRA,FRA,,
1958,6,3,france,germany fr,FRA,DEU,,
1958,5,2,brazil,sweden,BRA,SWE,,
1962,2,1,uruguay,colombia,URY,COL,1710004407.0,4955543963.0
1962,2,0,brazil,mexico,BRA,MEX,,15200000000.0
1962,1,0,argentina,bulgaria,ARG,BGR,,
1962,3,1,chile,switzerland,CHL,CHE,5416272727.0,
1962,2,0,soviet union,yugoslavia,SUN,YUG,,
1962,1,0,czechoslovakia,spain,CZE,ESP,,16138545209.0
1962,2,1,hungary,england,HUN,ENG,,
1962,0,0,germany fr,italy,DEU,ITA,,50383891899.0
1962,3,1,yugoslavia,uruguay,YUG,URY,,1710004407.0
1962,0,0,brazil,czechoslovakia,BRA,CZE,,
1962,3,1,england,argentina,ENG,ARG,,
1962,2,0,chile,italy,CHL,ITA,5416272727.0,50383891899.0
1962,4,4,soviet union,colombia,SUN,COL,,4955543963.0
1962,1,0,spain,mexico,ESP,MEX,16138545209.0,15200000000.0
1962,6,1,hungary,bulgaria,HUN,BGR,,
1962,2,1,germany fr,switzerland,DEU,CHE,,
1962,2,1,soviet union,uruguay,SUN,URY,,1710004407.0
1962,2,1,brazil,spain,BRA,ESP,,16138545209.0
1962,0,0,hungary,argentina,HUN,ARG,,
1962,2,0,germany fr,chile,DEU,CHL,,5416272727.0
1962,5,0,yugoslavia,colombia,YUG,COL,,4955543963.0
1962,3,1,mexico,czechoslovakia,MEX,CZE,15200000000.0,
1962,0,0,england,bulgaria,ENG,BGR,,
1962,3,0,italy,switzerland,ITA,CHE,50383891899.0,
1962,2,1,chile,soviet union,CHL,SUN,5416272727.0,
1962,3,1,brazil,england,BRA,ENG,,
1962,1,0,czechoslovakia,hungary,CZE,HUN,,
1962,1,0,yugoslavia,germany fr,YUG,DEU,,
1962,3,1,czechoslovakia,yugoslavia,CZE,YUG,,
1962,4,2,brazil,chile,BRA,CHL,,5416272727.0
1962,1,0,chile,yugoslavia,CHL,YUG,5416272727.0,
1962,3,1,brazil,czechoslovakia,BRA,CZE,,
1966,0,0,england,uruguay,ENG,URY,,1809183975.0
1966,5,0,germany fr,switzerland,DEU,CHE,,
1966,2,0,brazil,bulgaria,BRA,BGR,,
1966,3,0,soviet union,korea dpr,SUN,PRK,,
1966,1,1,france,mexico,FRA,MEX,110000000000.0,24320000000.0
1966,3,1,portugal,hungary,PRT,HUN,5135387846.0,
1966,2,1,argentina,spain,ARG,ESP,,28721062242.0
1966,2,0,italy,chile,ITA,CHL,73654870011.0,7072641026.0
1966,2,1,uruguay,france,URY,FRA,1809183975.0,110000000000.0
1966,2,1,spain,switzerland,ESP,CHE,28721062242.0,
1966,3,1,hungary,brazil,HUN,BRA,,
1966,1,1,korea dpr,chile,PRK,CHL,,7072641026.0
1966,3,0,portugal,bulgaria,PRT,BGR,5135387846.0,
1966,0,0,germany fr,argentina,DEU,ARG,,
1966,1,0,soviet union,italy,SUN,ITA,,73654870011.0
1966,2,0,england,mexico,ENG,MEX,,24320000000.0
1966,0,0,uruguay,mexico,URY,MEX,1809183975.0,24320000000.0
1966,2,0,argentina,switzerland,ARG,CHE,,
1966,3,1,portugal,brazil,PRT,BRA,5135387846.0,
1966,1,0,korea dpr,italy,PRK,ITA,,73654870011.0
1966,2,0,england,france,ENG,FRA,,110000000000.0
1966,3,1,hungary,bulgaria,HUN,BGR,,
1966,2,1,germany fr,spain,DEU,ESP,,28721062242.0
1966,2,1,soviet union,chile,SUN,CHL,,7072641026.0
1966,1,0,england,argentina,ENG,ARG,,
1966,4,0,germany fr,uruguay,DEU,URY,,1809183975.0
1966,2,1,soviet union,hungary,SUN,HUN,,
1966,5,3,portugal,korea dpr,PRT,PRK,5135387846.0,
1966,2,1,germany fr,soviet union,DEU,SUN,,
1966,2,1,england,portugal,ENG,PRT,,5135387846.0
1966,2,1,portugal,soviet union,PRT,SUN,5135387846.0,
1966,4,2,england,germany fr,ENG,DEU,,
1970,0,0,mexico,soviet union,MEX,SUN,35520000000.0,
1970,2,0,uruguay,israel,URY,ISR,2137096774.0,
1970,3,2,peru,bulgaria,PER,BGR,7432223177.0,
1970,1,0,england,romania,ENG,ROU,,
1970,1,0,italy,sweden,ITA,SWE,113000000000.0,38092452061.0
1970,2,1,germany fr,morocco,DEU,MAR,,3956328426.0
1970,4,1,brazil,czechoslovakia,BRA,CZE,,
1970,3,0,belgium,el salvador,BEL,SLV,26706196047.0,
1970,0,0,uruguay,italy,URY,ITA,2137096774.0,113000000000.0
1970,3,0,peru,morocco,PER,MAR,7432223177.0,3956328426.0
1970,2,1,romania,czechoslovakia,ROU,CZE,,
1970,4,1,soviet union,belgium,SUN,BEL,,26706196047.0
1970,1,1,sweden,israel,SWE,ISR,38092452061.0,
1970,5,2,germany fr,bulgaria,DEU,BGR,,
1970,1,0,brazil,england,BRA,ENG,,
1970,4,0,mexico,el salvador,MEX,SLV,35520000000.0,
1970,1,0,sweden,uruguay,SWE,URY,38092452061.0,2137096774.0
1970,3,1,germany fr,peru,DEU,PER,,7432223177.0
1970,3,2,brazil,romania,BRA,ROU,,
1970,2,0,soviet union,el salvador,SUN,SLV,,
1970,0,0,italy,israel,ITA,ISR,113000000000.0,
1970,1,1,bulgaria,morocco,BGR,MAR,,3956328426.0
1970,1,0,england,czechoslovakia,ENG,CZE,,
1970,1,0,mexico,belgium,MEX,BEL,35520000000.0,26706196047.0
