Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,GDP Home,GDP Away
1994,1,0,norway,mexico,NOR,MEX,127000000000.0,528000000000.0
1994,2,2,cameroon,sweden,CMR,SWE,8902446188.0,229000000000.0
1994,2,1,netherlands,saudi arabia,NLD,SAU,379000000000.0,
1994,2,0,brazil,russia,BRA,RUS,,
1994,4,0,argentina,greece,ARG,GRC,,117000000000.0
1994,3,0,nigeria,bulgaria,NGA,BGR,33833042988.0,
1994,1,1,germany,spain,DEU,ESP,,531000000000.0
1994,1,4,romania,switzerland,ROU,CHE,,
1994,2,1,usa,colombia,USA,COL,7290000000000.0,81703500846.0
1994,1,0,italy,norway,ITA,NOR,1100000000000.0,127000000000.0
1994,0,0,korea republic,bolivia,KOR,BOL,464000000000.0,5981244887.0
1994,2,1,mexico,"rn"">republic of ireland",MEX,IRL,528000000000.0,57097656066.0
1994,3,1,sweden,russia,SWE,RUS,229000000000.0,
1994,3,0,brazil,cameroon,BRA,CMR,,8902446188.0
1994,1,0,belgium,netherlands,BEL,NLD,245000000000.0,379000000000.0
1994,2,1,saudi arabia,morocco,SAU,MAR,,35604137423.0
1994,2,1,argentina,nigeria,ARG,NGA,,33833042988.0
1994,4,0,bulgaria,greece,BGR,GRC,,117000000000.0
1994,0,1,usa,romania,USA,ROU,7290000000000.0,
1994,0,2,switzerland,colombia,CHE,COL,,81703500846.0
1994,3,2,germany,korea republic,DEU,KOR,,464000000000.0
1994,1,3,bolivia,spain,BOL,ESP,5981244887.0,531000000000.0
1994,0,0,"rn"">republic of ireland",norway,IRL,NOR,57097656066.0,127000000000.0
1994,1,1,brazil,sweden,BRA,SWE,,229000000000.0
1994,1,1,italy,mexico,ITA,MEX,1100000000000.0,528000000000.0
1994,6,1,russia,cameroon,RUS,CMR,,8902446188.0
1994,1,2,morocco,netherlands,MAR,NLD,35604137423.0,379000000000.0
1994,0,1,belgium,saudi arabia,BEL,SAU,245000000000.0,
1994,0,2,greece,nigeria,GRC,NGA,117000000000.0,33833042988.0
1994,0,2,argentina,bulgaria,ARG,BGR,,
1994,3,2,germany,belgium,DEU,BEL,,245000000000.0
1994,3,0,spain,switzerland,ESP,CHE,531000000000.0,
1994,1,3,saudi arabia,sweden,SAU,SWE,,229000000000.0
1994,3,2,romania,argentina,ROU,ARG,,
1994,2,0,netherlands,"rn"">republic of ireland",NLD,IRL,379000000000.0,57097656066.0
1994,1,0,brazil,usa,BRA,USA,,7290000000000.0
1994,1,2,nigeria,italy,NGA,ITA,33833042988.0,1100000000000.0
1994,1,1,mexico,bulgaria,MEX,BGR,528000000000.0,
1994,2,1,italy,spain,ITA,ESP,1100000000000.0,531000000000.0
1994,2,3,netherlands,brazil,NLD,BRA,379000000000.0,
1994,2,1,bulgaria,germany,BGR,DEU,,
1994,2,2,romania,sweden,ROU,SWE,,229000000000.0
1994,1,2,bulgaria,italy,BGR,ITA,,1100000000000.0
1994,0,1,sweden,brazil,SWE,BRA,229000000000.0,
1994,4,0,sweden,bulgaria,SWE,BGR,229000000000.0,
1994,0,0,brazil,italy,BRA,ITA,,1100000000000.0
1998,2,1,brazil,scotland,BRA,SCT,,
1998,2,2,morocco,norway,MAR,NOR,41806219379.0,154000000000.0
1998,2,2,italy,chile,ITA,CHL,1270000000000.0,81577430181.0
1998,1,1,cameroon,austria,CMR,AUT,11298144512.0,218000000000.0
1998,0,0,paraguay,bulgaria,PRY,BGR,,
1998,0,1,saudi arabia,denmark,SAU,DNK,,
1998,3,0,france,south africa,FRA,ZAF,1500000000000.0,153000000000.0
1998,2,3,spain,nigeria,ESP,NGA,619000000000.0,54604050168.0
1998,1,3,korea republic,mexico,KOR,MEX,383000000000.0,527000000000.0
1998,0,0,netherlands,belgium,NLD,BEL,438000000000.0,259000000000.0
1998,1,0,argentina,japan,ARG,JPN,,4100000000000.0
1998,1,0,yugoslavia,iran,YUG,IRN,,
1998,1,3,jamaica,croatia,JAM,HRV,8787195622.0,
1998,2,0,england,tunisia,ENG,TUN,,
1998,1,0,romania,colombia,ROU,COL,,98443739941.0
1998,2,0,germany,usa,DEU,USA,,9060000000000.0
1998,1,1,scotland,norway,SCT,NOR,,154000000000.0
1998,3,0,brazil,morocco,BRA,MAR,,41806219379.0
1998,1,1,chile,austria,CHL,AUT,81577430181.0,218000000000.0
1998,3,0,italy,cameroon,ITA,CMR,1270000000000.0,11298144512.0
1998,1,1,south africa,denmark,ZAF,DNK,153000000000.0,
1998,4,0,france,saudi arabia,FRA,SAU,1500000000000.0,
1998,1,0,nigeria,bulgaria,NGA,BGR,54604050168.0,
1998,0,0,spain,paraguay,ESP,PRY,619000000000.0,
1998,0,1,japan,croatia,JPN,HRV,4100000000000.0,
1998,2,2,belgium,mexico,BEL,MEX,259000000000.0,527000000000.0
1998,5,0,netherlands,korea republic,NLD,KOR,438000000000.0,383000000000.0
1998,2,2,germany,yugoslavia,DEU,YUG,,
1998,5,0,argentina,jamaica,ARG,JAM,,8787195622.0
1998,1,2,usa,iran,USA,IRN,9060000000000.0,
1998,1,0,colombia,tunisia,COL,TUN,98443739941.0,
1998,2,1,romania,england,ROU,ENG,,
1998,2,1,italy,austria,ITA,AUT,1270000000000.0,218000000000.0
1998,1,1,chile,cameroon,CHL,CMR,81577430181.0,11298144512.0
1998,0,3,scotland,morocco,SCT,MAR,,41806219379.0
1998,1,2,brazil,norway,BRA,NOR,,154000000000.0
1998,2,1,france,denmark,FRA,DNK,1500000000000.0,
1998,2,2,south africa,saudi arabia,ZAF,SAU,153000000000.0,
1998,6,1,spain,bulgaria,ESP,BGR,619000000000.0,
1998,1,3,nigeria,paraguay,NGA,PRY,54604050168.0,
1998,1,1,belgium,korea republic,BEL,KOR,259000000000.0,383000000000.0
1998,2,2,netherlands,mexico,NLD,MEX,438000000000.0,527000000000.0
1998,2,0,germany,iran,DEU,IRN,,
1998,0,1,usa,yugoslavia,USA,YUG,9060000000000.0,
1998,1,2,japan,jamaica,JPN,JAM,4100000000000.0,8787195622.0
1998,1,0,argentina,croatia,ARG,HRV,,
1998,1,1,romania,tunisia,ROU,TUN,,
1998,0,2,colombia,england,COL,ENG,98443739941.0,
1998,1,0,italy,norway,ITA,NOR,1270000000000.0,154000000000.0
1998,4,1,brazil,chile,BRA,CHL,,81577430181.0
1998,1,0,france,paraguay,FRA,PRY,1500000000000.0,
1998,1,4,nigeria,denmark,NGA,DNK,54604050168.0,
1998,2,1,germany,mexico,DEU,MEX,,527000000000.0
1998,2,1,netherlands,yugoslavia,NLD,YUG,438000000000.0,
1998,0,1,romania,croatia,ROU,HRV,,
1998,2,2,argentina,england,ARG,ENG,,
1998,0,0,italy,france,ITA,FRA,1270000000000.0,1500000000000.0
1998,3,2,brazil,denmark,BRA,DNK,,
1998,2,1,netherlands,argentina,NLD,ARG,438000000000.0,
1998,0,3,germany,croatia,DEU,HRV,,
1998,1,1,brazil,netherlands,BRA,NLD,,438000000000.0
1998,2,1,france,croatia,FRA,HRV,1500000000000.0,
1998,1,2,netherlands,croatia,NLD,HRV,438000000000.0,
1998,0,3,brazil,france,BRA,FRA,,1500000000000.0
2002,0,1,france,senegal,FRA,SEN,1490000000000.0,7006402592.0
2002,1,2,uruguay,denmark,URY,DNK,13606494599.0,
2002,1,1,"rn"">republic of ireland",cameroon,IRL,CMR,128000000000.0,12417251816.0
2002,8,0,germany,saudi arabia,DEU,SAU,,
2002,1,0,argentina,nigeria,ARG,NGA,,95385819321.0
2002,2,2,paraguay,south africa,PRY,ZAF,,129000000000.0
2002,1,1,england,sweden,ENG,SWE,,267000000000.0
2002,3,1,spain,slovenia,ESP,SVN,705000000000.0,
2002,2,1,brazil,turkey,BRA,TUR,,240000000000.0
2002,2,0,italy,ecuador,ITA,ECU,1270000000000.0,28548945000.0
2002,0,1,croatia,mexico,HRV,MEX,,772000000000.0
2002,0,2,china pr,costa rica,CHN,CRI,1470000000000.0,16578820687.0
2002,2,2,japan,belgium,JPN,BEL,4180000000000.0,257000000000.0
2002,2,0,korea republic,poland,KOR,POL,627000000000.0,
2002,2,0,russia,tunisia,RUS,TUN,,
2002,3,2,usa,portugal,USA,PRT,10900000000000.0,134000000000.0
2002,1,1,germany,"rn"">republic of ireland",DEU,IRL,,128000000000.0
2002,1,1,denmark,senegal,DNK,SEN,,7006402592.0
2002,1,0,cameroon,saudi arabia,CMR,SAU,12417251816.0,
2002,0,0,france,uruguay,FRA,URY,1490000000000.0,13606494599.0
2002,2,1,sweden,nigeria,SWE,NGA,267000000000.0,95385819321.0
2002,0,1,argentina,england,ARG,ENG,,
2002,3,1,spain,paraguay,ESP,PRY,705000000000.0,
2002,1,0,south africa,slovenia,ZAF,SVN,129000000000.0,
2002,4,0,brazil,china pr,BRA,CHN,,1470000000000.0
2002,1,2,italy,croatia,ITA,HRV,1270000000000.0,
2002,1,1,costa rica,turkey,CRI,TUR,16578820687.0,240000000000.0
2002,1,0,japan,russia,JPN,RUS,4180000000000.0,
2002,2,1,mexico,ecuador,MEX,ECU,772000000000.0,28548945000.0
2002,1,1,korea republic,usa,KOR,USA,627000000000.0,10900000000000.0
2002,4,0,portugal,poland,PRT,POL,134000000000.0,
2002,1,1,tunisia,belgium,TUN,BEL,,257000000000.0
2002,2,0,denmark,france,DNK,FRA,,1490000000000.0
2002,3,3,senegal,uruguay,SEN,URY,7006402592.0,13606494599.0
2002,0,3,saudi arabia,"rn"">republic of ireland",SAU,IRL,,128000000000.0
2002,0,2,cameroon,germany,CMR,DEU,12417251816.0,
2002,1,1,sweden,argentina,SWE,ARG,267000000000.0,
2002,0,0,nigeria,england,NGA,ENG,95385819321.0,
2002,1,3,slovenia,paraguay,SVN,PRY,,
2002,2,3,south africa,spain,ZAF,ESP,129000000000.0,705000000000.0
2002,2,5,costa rica,brazil,CRI,BRA,16578820687.0,
2002,3,0,turkey,china pr,TUR,CHN,240000000000.0,1470000000000.0
2002,1,0,ecuador,croatia,ECU,HRV,28548945000.0,
2002,1,1,mexico,italy,MEX,ITA,772000000000.0,1270000000000.0
2002,0,2,tunisia,japan,TUN,JPN,,4180000000000.0
2002,0,1,portugal,korea republic,PRT,KOR,134000000000.0,627000000000.0
2002,3,1,poland,usa,POL,USA,,10900000000000.0
2002,3,2,belgium,russia,BEL,RUS,257000000000.0,
2002,0,3,denmark,england,DNK,ENG,,
2002,1,0,germany,paraguay,DEU,PRY,,
2002,1,1,spain,"rn"">republic of ireland",ESP,IRL,705000000000.0,128000000000.0
2002,1,2,sweden,senegal,SWE,SEN,267000000000.0,7006402592.0
2002,2,0,brazil,belgium,BRA,BEL,,257000000000.0
2002,0,2,mexico,usa,MEX,USA,772000000000.0,10900000000000.0
2002,0,1,japan,turkey,JPN,TUR,4180000000000.0,240000000000.0
2002,2,1,korea republic,italy,KOR,ITA,627000000000.0,1270000000000.0
2002,1,2,england,brazil,ENG,BRA,,
2002,1,0,germany,usa,DEU,USA,,10900000000000.0
2002,0,1,senegal,turkey,SEN,TUR,7006402592.0,240000000000.0
2002,0,0,spain,korea republic,ESP,KOR,705000000000.0,627000000000.0
2002,1,0,germany,korea republic,DEU,KOR,,627000000000.0
2002,1,0,brazil,turkey,BRA,TUR,,240000000000.0
2002,2,3,korea republic,turkey,KOR,TUR,627000000000.0,240000000000.0
2002,0,2,germany,brazil,DEU,BRA,,
2006,4,2,germany,costa rica,DEU,CRI,,22715540324.0
2006,0,2,poland,ecuador,POL,ECU,,46802044000.0
2006,1,0,england,paraguay,ENG,PRY,,
2006,0,0,"rn"">trinidad and tobago",sweden,TTO,SWE,18369361094.0,423000000000.0
2006,2,1,argentina,c�te d'ivoire,ARG,CIV,,25281414473.0
2006,0,1,"rn"">serbia and montenegro",netherlands,SCG,NLD,,733000000000.0
2006,3,1,mexico,iran,MEX,IRN,975000000000.0,
2006,0,1,angola,portugal,AGO,PRT,,209000000000.0
2006,3,1,australia,japan,AUS,JPN,748000000000.0,4600000000000.0
2006,0,3,usa,czech republic,USA,CZE,13800000000000.0,
2006,2,0,italy,ghana,ITA,GHA,1950000000000.0,20440893017.0
2006,2,1,korea republic,togo,KOR,TGO,1050000000000.0,2351584608.0
2006,0,0,france,switzerland,FRA,CHE,2320000000000.0,
2006,1,0,brazil,croatia,BRA,HRV,,
2006,4,0,spain,ukraine,ESP,UKR,1260000000000.0,
2006,2,2,tunisia,saudi arabia,TUN,SAU,,
2006,1,0,germany,poland,DEU,POL,,
2006,3,0,ecuador,costa rica,ECU,CRI,46802044000.0,22715540324.0
2006,2,0,england,"rn"">trinidad and tobago",ENG,TTO,,18369361094.0
2006,1,0,sweden,paraguay,SWE,PRY,423000000000.0,
2006,6,0,argentina,"rn"">serbia and montenegro",ARG,SCG,,
2006,2,1,netherlands,c�te d'ivoire,NLD,CIV,733000000000.0,25281414473.0
2006,0,0,mexico,angola,MEX,AGO,975000000000.0,
2006,2,0,portugal,ir iran,PRT,IRN,209000000000.0,
2006,0,2,czech republic,ghana,CZE,GHA,,20440893017.0
2006,1,1,italy,usa,ITA,USA,1950000000000.0,13800000000000.0
2006,0,0,japan,croatia,JPN,HRV,4600000000000.0,
2006,2,0,brazil,australia,BRA,AUS,,748000000000.0
2006,1,1,france,korea republic,FRA,KOR,2320000000000.0,1050000000000.0
2006,0,2,togo,switzerland,TGO,CHE,2351584608.0,
2006,0,4,saudi arabia,ukraine,SAU,UKR,,
2006,3,1,spain,tunisia,ESP,TUN,1260000000000.0,
2006,0,3,ecuador,germany,ECU,DEU,46802044000.0,
2006,1,2,costa rica,poland,CRI,POL,22715540324.0,
2006,2,2,sweden,england,SWE,ENG,423000000000.0,
2006,2,0,paraguay,"rn"">trinidad and tobago",PRY,TTO,,18369361094.0
2006,1,1,iran,angola,IRN,AGO,,
2006,2,1,portugal,mexico,PRT,MEX,209000000000.0,975000000000.0
2006,0,0,netherlands,argentina,NLD,ARG,733000000000.0,
2006,3,2,c�te d'ivoire,"rn"">serbia and montenegro",CIV,SCG,25281414473.0,
2006,0,2,czech republic,italy,CZE,ITA,,1950000000000.0
2006,2,1,ghana,usa,GHA,USA,20440893017.0,13800000000000.0
2006,1,4,japan,brazil,JPN,BRA,4600000000000.0,
2006,2,2,croatia,australia,HRV,AUS,,748000000000.0
2006,1,0,ukraine,tunisia,UKR,TUN,,
2006,0,1,saudi arabia,spain,SAU,ESP,,1260000000000.0
2006,0,2,togo,france,TGO,FRA,2351584608.0,2320000000000.0
2006,2,0,switzerland,korea republic,CHE,KOR,,1050000000000.0
2006,2,0,germany,sweden,DEU,SWE,,423000000000.0
2006,2,1,argentina,mexico,ARG,MEX,,975000000000.0
2006,1,0,england,ecuador,ENG,ECU,,46802044000.0
2006,1,0,portugal,netherlands,PRT,NLD,209000000000.0,733000000000.0
2006,1,0,italy,australia,ITA,AUS,1950000000000.0,748000000000.0
2006,0,0,switzerland,ukraine,CHE,UKR,,
2006,3,0,brazil,ghana,BRA,GHA,,20440893017.0
2006,1,3,spain,france,ESP,FRA,1260000000000.0,2320000000000.0
2006,1,1,germany,argentina,DEU,ARG,,
2006,3,0,italy,ukraine,ITA,UKR,1950000000000.0,
2006,0,0,england,portugal,ENG,PRT,,209000000000.0
2006,0,1,brazil,france,BRA,FRA,,2320000000000.0
2006,0,2,germany,italy,DEU,ITA,,1950000000000.0
2006,0,1,portugal,france,PRT,FRA,209000000000.0,2320000000000.0
2006,3,1,germany,portugal,DEU,PRT,,209000000000.0
2006,1,1,italy,france,ITA,FRA,1950000000000.0,2320000000000.0
2010,1,1,south africa,mexico,ZAF,MEX,417000000000.0,1060000000000.0
2010,0,0,uruguay,france,URY,FRA,40284481652.0,2640000000000.0
2010,2,0,korea republic,greece,KOR,GRC,1140000000000.0,297000000000.0
2010,1,0,argentina,nigeria,ARG,NGA,,361000000000.0
2010,1,1,england,usa,ENG,USA,,15000000000000.0
2010,0,1,algeria,slovenia,DZA,SVN,161000000000.0,
2010,0,1,serbia,ghana,SRB,GHA,,32197272797.0
2010,4,0,germany,australia,DEU,AUS,,1150000000000.0
2010,2,0,netherlands,denmark,NLD,DNK,847000000000.0,
2010,1,0,japan,cameroon,JPN,CMR,5760000000000.0,27507499709.0
2010,1,1,italy,paraguay,ITA,PRY,2130000000000.0,
2010,1,1,new zealand,slovakia,NZL,SVK,,
2010,0,0,c�te d'ivoire,portugal,CIV,PRT,34936305297.0,238000000000.0
2010,2,1,brazil,korea dpr,BRA,PRK,,
2010,0,1,honduras,chile,HND,CHL,15729649159.0,219000000000.0
2010,0,1,spain,switzerland,ESP,CHE,1420000000000.0,
2010,0,3,south africa,uruguay,ZAF,URY,417000000000.0,40284481652.0
2010,4,1,argentina,korea republic,ARG,KOR,,1140000000000.0
2010,2,1,greece,nigeria,GRC,NGA,297000000000.0,361000000000.0
2010,0,2,france,mexico,FRA,MEX,2640000000000.0,1060000000000.0
2010,0,1,germany,serbia,DEU,SRB,,
2010,2,2,slovenia,usa,SVN,USA,,15000000000000.0
2010,0,0,england,algeria,ENG,DZA,,161000000000.0
2010,1,0,netherlands,japan,NLD,JPN,847000000000.0,5760000000000.0
2010,1,1,ghana,australia,GHA,AUS,32197272797.0,1150000000000.0
2010,1,2,cameroon,denmark,CMR,DNK,27507499709.0,
2010,0,2,slovakia,paraguay,SVK,PRY,,
2010,1,1,italy,new zealand,ITA,NZL,2130000000000.0,
2010,3,1,brazil,c�te d'ivoire,BRA,CIV,,34936305297.0
2010,7,0,portugal,korea dpr,PRT,PRK,238000000000.0,
2010,1,0,chile,switzerland,CHL,CHE,219000000000.0,
2010,2,0,spain,honduras,ESP,HND,1420000000000.0,15729649159.0
2010,0,1,mexico,uruguay,MEX,URY,1060000000000.0,40284481652.0
2010,1,2,france,south africa,FRA,ZAF,2640000000000.0,417000000000.0
2010,2,2,nigeria,korea republic,NGA,KOR,361000000000.0,1140000000000.0
2010,0,2,greece,argentina,GRC,ARG,297000000000.0,
2010,0,1,slovenia,england,SVN,ENG,,
2010,1,0,usa,algeria,USA,DZA,15000000000000.0,161000000000.0
2010,0,1,ghana,germany,GHA,DEU,32197272797.0,
2010,2,1,australia,serbia,AUS,SRB,1150000000000.0,
2010,3,2,slovakia,italy,SVK,ITA,,2130000000000.0
2010,0,0,paraguay,new zealand,PRY,NZL,,
2010,1,3,denmark,japan,DNK,JPN,,5760000000000.0
2010,1,2,cameroon,netherlands,CMR,NLD,27507499709.0,847000000000.0
2010,0,0,portugal,brazil,PRT,BRA,238000000000.0,
2010,0,3,korea dpr,c�te d'ivoire,PRK,CIV,,34936305297.0
2010,1,2,chile,spain,CHL,ESP,219000000000.0,1420000000000.0
2010,0,0,switzerland,honduras,CHE,HND,,15729649159.0
2010,2,1,uruguay,korea republic,URY,KOR,40284481652.0,1140000000000.0
2010,1,2,usa,ghana,USA,GHA,15000000000000.0,32197272797.0
2010,4,1,germany,england,DEU,ENG,,
2010,3,1,argentina,mexico,ARG,MEX,,1060000000000.0
2010,2,1,netherlands,slovakia,NLD,SVK,847000000000.0,
2010,3,0,brazil,chile,BRA,CHL,,219000000000.0
2010,0,0,paraguay,japan,PRY,JPN,,5760000000000.0
2010,1,0,spain,portugal,ESP,PRT,1420000000000.0,238000000000.0
2010,2,1,netherlands,brazil,NLD,BRA,847000000000.0,
2010,1,1,uruguay,ghana,URY,GHA,40284481652.0,32197272797.0
2010,0,4,argentina,germany,ARG,DEU,,
2010,0,1,paraguay,spain,PRY,ESP,,1420000000000.0
2010,2,3,uruguay,netherlands,URY,NLD,40284481652.0,847000000000.0
2010,0,1,germany,spain,DEU,ESP,,1420000000000.0
2010,2,3,uruguay,germany,URY,DEU,40284481652.0,
2010,0,1,netherlands,spain,NLD,ESP,847000000000.0,1420000000000.0
2014,3,1,brazil,croatia,BRA,HRV,,
2014,1,0,mexico,cameroon,MEX,CMR,1320000000000.0,36386546918.0
2014,1,5,spain,netherlands,ESP,NLD,1370000000000.0,891000000000.0
2014,3,1,chile,australia,CHL,AUS,261000000000.0,1470000000000.0
2014,3,0,colombia,greece,COL,GRC,381000000000.0,235000000000.0
2014,1,3,uruguay,costa rica,URY,CRI,57236013086.0,52016408951.0
2014,1,2,england,italy,ENG,ITA,,2160000000000.0
2014,2,1,c�te d'ivoire,japan,CIV,JPN,48843008580.0,4900000000000.0
2014,2,1,switzerland,ecuador,CHE,ECU,,102000000000.0
2014,3,0,france,honduras,FRA,HND,2850000000000.0,19618567250.0
2014,2,1,argentina,"rn"">bosnia and herzegovina",ARG,BIH,,
2014,4,0,germany,portugal,DEU,PRT,,230000000000.0
2014,0,0,ir iran,nigeria,IRN,NGA,,547000000000.0
2014,1,2,ghana,usa,GHA,USA,54782847753.0,17500000000000.0
2014,2,1,belgium,algeria,BEL,DZA,535000000000.0,214000000000.0
2014,0,0,brazil,mexico,BRA,MEX,,1320000000000.0
2014,1,1,russia,korea republic,RUS,KOR,,1480000000000.0
2014,2,3,australia,netherlands,AUS,NLD,1470000000000.0,891000000000.0
2014,0,2,spain,chile,ESP,CHL,1370000000000.0,261000000000.0
2014,0,4,cameroon,croatia,CMR,HRV,36386546918.0,
2014,2,1,colombia,c�te d'ivoire,COL,CIV,381000000000.0,48843008580.0
2014,2,1,uruguay,england,URY,ENG,57236013086.0,
2014,0,0,japan,greece,JPN,GRC,4900000000000.0,235000000000.0
2014,0,1,italy,costa rica,ITA,CRI,2160000000000.0,52016408951.0
2014,2,5,switzerland,france,CHE,FRA,,2850000000000.0
2014,1,2,honduras,ecuador,HND,ECU,19618567250.0,102000000000.0
2014,1,0,argentina,ir iran,ARG,IRN,,
2014,2,2,germany,ghana,DEU,GHA,,54782847753.0
2014,1,0,nigeria,"rn"">bosnia and herzegovina",NGA,BIH,547000000000.0,
2014,1,0,belgium,russia,BEL,RUS,535000000000.0,
2014,2,4,korea republic,algeria,KOR,DZA,1480000000000.0,214000000000.0
2014,2,2,usa,portugal,USA,PRT,17500000000000.0,230000000000.0
2014,0,3,australia,spain,AUS,ESP,1470000000000.0,1370000000000.0
2014,2,0,netherlands,chile,NLD,CHL,891000000000.0,261000000000.0
2014,1,4,cameroon,brazil,CMR,BRA,36386546918.0,
2014,1,3,croatia,mexico,HRV,MEX,,1320000000000.0
2014,0,1,italy,uruguay,ITA,URY,2160000000000.0,57236013086.0
2014,0,0,costa rica,england,CRI,ENG,52016408951.0,
2014,1,4,japan,colombia,JPN,COL,4900000000000.0,381000000000.0
2014,2,1,greece,c�te d'ivoire,GRC,CIV,235000000000.0,48843008580.0
2014,2,3,nigeria,argentina,NGA,ARG,547000000000.0,
2014,3,1,"rn"">bosnia and herzegovina",ir iran,BIH,IRN,,
2014,0,3,honduras,switzerland,HND,CHE,19618567250.0,
2014,0,0,ecuador,france,ECU,FRA,102000000000.0,2850000000000.0
2014,0,1,usa,germany,USA,DEU,17500000000000.0,
2014,2,1,portugal,ghana,PRT,GHA,230000000000.0,54782847753.0
2014,0,1,korea republic,belgium,KOR,BEL,1480000000000.0,535000000000.0
2014,1,1,algeria,russia,DZA,RUS,214000000000.0,
2014,1,1,brazil,chile,BRA,CHL,,261000000000.0
2014,2,0,colombia,uruguay,COL,URY,381000000000.0,57236013086.0
2014,2,0,france,nigeria,FRA,NGA,2850000000000.0,547000000000.0
2014,2,1,germany,algeria,DEU,DZA,,214000000000.0
2014,2,1,brazil,colombia,BRA,COL,,381000000000.0
2014,0,1,france,germany,FRA,DEU,2850000000000.0,
2014,1,7,brazil,germany,BRA,DEU,,
2014,0,3,brazil,netherlands,BRA,NLD,,891000000000.0
2014,1,0,germany,argentina,DEU,ARG,,
2014,0,0,netherlands,argentina,NLD,ARG,891000000000.0,
2014,0,0,netherlands,costa rica,NLD,CRI,891000000000.0,52016408951.0
2014,1,0,argentina,belgium,ARG,BEL,,535000000000.0
2014,2,1,netherlands,mexico,NLD,MEX,891000000000.0,1320000000000.0
2014,1,1,costa rica,greece,CRI,GRC,52016408951.0,235000000000.0
2014,1,0,argentina,switzerland,ARG,CHE,,
2014,2,1,belgium,usa,BEL,USA,535000000000.0,17500000000000.0
2014,1,1,brazil,chile,BRA,CHL,,261000000000.0
2014,2,0,colombia,uruguay,COL,URY,381000000000.0,57236013086.0
2014,2,1,netherlands,mexico,NLD,MEX,891000000000.0,1320000000000.0
2014,1,1,costa rica,greece,CRI,GRC,52016408951.0,235000000000.0
2014,2,0,france,nigeria,FRA,NGA,2850000000000.0,547000000000.0
2014,2,1,germany,algeria,DEU,DZA,,214000000000.0
2014,1,0,argentina,switzerland,ARG,CHE,,
2014,2,1,belgium,usa,BEL,USA,535000000000.0,17500000000000.0
2014,0,1,france,germany,FRA,DEU,2850000000000.0,
2014,2,1,brazil,colombia,BRA,COL,,381000000000.0
2014,1,0,argentina,belgium,ARG,BEL,,535000000000.0
2014,0,0,netherlands,costa rica,NLD,CRI,891000000000.0,52016408951.0
2014,1,7,brazil,germany,BRA,DEU,,
2014,0,0,netherlands,argentina,NLD,ARG,891000000000.0,
2014,0,3,brazil,netherlands,BRA,NLD,,891000000000.0
2014,1,0,germany,argentina,DEU,ARG,,
2018,5,0,russia,saudi arabia,RUS,SAU,,
2018,0,1,egypt,uruguay,EGY,URY,,64515038268.0
2018,0,1,morocco,iran,MAR,IRN,118000000000.0,
2018,3,3,portugal,spain,PRT,ESP,242000000000.0,1420000000000.0
2018,2,1,france,australia,FRA,AUS,2790000000000.0,1430000000000.0
2018,1,1,argentina,iceland,ARG,ISL,,26267063758.0
2018,0,1,peru,denmark,PER,DNK,223000000000.0,
2018,2,0,croatia,nigeria,HRV,NGA,,397000000000.0
2018,0,1,costa rica,serbia,CRI,SRB,62420165100.0,
2018,0,1,germany,mexico,DEU,MEX,,1220000000000.0
2018,1,1,brazil,switzerland,BRA,CHE,,
2018,1,0,sweden,south korea,SWE,KOR,555000000000.0,1720000000000.0
2018,3,0,belgium,panama,BEL,PAN,543000000000.0,64929409212.0
2018,1,2,tunisia,england,TUN,ENG,,
2018,1,2,colombia,japan,COL,JPN,334000000000.0,5040000000000.0
2018,1,2,poland,senegal,POL,SEN,,23116699808.0
2018,3,1,russia,egypt,RUS,EGY,,
2018,1,0,portugal,morocco,PRT,MAR,242000000000.0,118000000000.0
2018,1,0,uruguay,saudi arabia,URY,SAU,64515038268.0,
2018,0,1,iran,spain,IRN,ESP,,1420000000000.0
2018,1,1,denmark,australia,DNK,AUS,,1430000000000.0
2018,1,0,france,peru,FRA,PER,2790000000000.0,223000000000.0
2018,0,3,argentina,croatia,ARG,HRV,,
2018,2,0,brazil,costa rica,BRA,CRI,,62420165100.0
2018,2,0,nigeria,iceland,NGA,ISL,397000000000.0,26267063758.0
2018,1,2,serbia,switzerland,SRB,CHE,,
2018,5,2,belgium,tunisia,BEL,TUN,543000000000.0,
2018,1,2,south korea,mexico,KOR,MEX,1720000000000.0,1220000000000.0
2018,2,1,germany,sweden,DEU,SWE,,555000000000.0
2018,6,1,england,panama,ENG,PAN,,64929409212.0
2018,2,2,japan,senegal,JPN,SEN,5040000000000.0,23116699808.0
2018,0,3,poland,colombia,POL,COL,,334000000000.0
2018,2,1,saudi arabia,egypt,SAU,EGY,,
2018,3,0,uruguay,russia,URY,RUS,64515038268.0,
2018,1,1,iran,portugal,IRN,PRT,,242000000000.0
2018,2,2,spain,morocco,ESP,MAR,1420000000000.0,118000000000.0
2018,0,2,australia,peru,AUS,PER,1430000000000.0,223000000000.0
2018,0,0,denmark,france,DNK,FRA,,2790000000000.0
2018,1,2,nigeria,argentina,NGA,ARG,397000000000.0,
2018,1,2,iceland,croatia,ISL,HRV,26267063758.0,
2018,0,3,mexico,sweden,MEX,SWE,1220000000000.0,555000000000.0
2018,2,0,south korea,germany,KOR,DEU,1720000000000.0,
2018,2,2,switzerland,costa rica,CHE,CRI,,62420165100.0
