,Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,Home_result
473,1994,2,0,Brazil,Russia,BRA,RUS,W
474,1994,4,0,Argentina,Greece,ARG,GRC,W
475,1994,3,0,Nigeria,Bulgaria,NGA,BGR,W
476,1994,1,1,Germany,Spain,DEU,ESP,D
477,1994,1,4,Romania,Switzerland,ROU,CHE,L
478,1994,2,1,USA,Colombia,USA,COL,W
479,1994,1,0,Italy,Norway,ITA,NOR,W
480,1994,0,0,Korea Republic,Bolivia,KOR,BOL,D
481,1994,2,1,Mexico,"rn"">Republic of Ireland",MEX,IRL,W
482,1994,3,1,Sweden,Russia,SWE,RUS,W
483,1994,3,0,Brazil,Cameroon,BRA,CMR,W
484,1994,1,0,Belgium,Netherlands,BEL,NLD,W
485,1994,2,1,Saudi Arabia,Morocco,SAU,MAR,W
486,1994,2,1,Argentina,Nigeria,ARG,NGA,W
487,1994,4,0,Bulgaria,Greece,BGR,GRC,W
488,1994,0,1,USA,Romania,USA,ROU,L
489,1994,0,2,Switzerland,Colombia,CHE,COL,L
490,1994,3,2,Germany,Korea Republic,DEU,KOR,W
491,1994,1,3,Bolivia,Spain,BOL,ESP,L
492,1994,0,0,"rn"">Republic of Ireland",Norway,IRL,NOR,D
493,1994,1,1,Brazil,Sweden,BRA,SWE,D
494,1994,1,1,Italy,Mexico,ITA,MEX,D
495,1994,6,1,Russia,Cameroon,RUS,CMR,W
496,1994,1,2,Morocco,Netherlands,MAR,NLD,L
497,1994,0,1,Belgium,Saudi Arabia,BEL,SAU,L
498,1994,0,2,Greece,Nigeria,GRC,NGA,L
499,1994,0,2,Argentina,Bulgaria,ARG,BGR,L
500,1994,3,2,Germany,Belgium,DEU,BEL,W
501,1994,3,0,Spain,Switzerland,ESP,CHE,W
502,1994,1,3,Saudi Arabia,Sweden,SAU,SWE,L
503,1994,3,2,Romania,Argentina,ROU,ARG,W
504,1994,2,0,Netherlands,"rn"">Republic of Ireland",NLD,IRL,W
505,1994,1,0,Brazil,USA,BRA,USA,W
506,1994,1,2,Nigeria,Italy,NGA,ITA,L
507,1994,1,1,Mexico,Bulgaria,MEX,BGR,D
508,1994,2,1,Italy,Spain,ITA,ESP,W
509,1994,2,3,Netherlands,Brazil,NLD,BRA,L
510,1994,2,1,Bulgaria,Germany,BGR,DEU,W
511,1994,2,2,Romania,Sweden,ROU,SWE,D
512,1994,1,2,Bulgaria,Italy,BGR,ITA,L
513,1994,0,1,Sweden,Brazil,SWE,BRA,L
514,1994,4,0,Sweden,Bulgaria,SWE,BGR,W
515,1994,0,0,Brazil,Italy,BRA,ITA,D
516,1998,2,1,Brazil,Scotland,BRA,SCT,W
517,1998,2,2,Morocco,Norway,MAR,NOR,D
518,1998,2,2,Italy,Chile,ITA,CHL,D
519,1998,1,1,Cameroon,Austria,CMR,AUT,D
520,1998,0,0,Paraguay,Bulgaria,PRY,BGR,D
521,1998,0,1,Saudi Arabia,Denmark,SAU,DNK,L
522,1998,3,0,France,South Africa,FRA,ZAF,W
523,1998,2,3,Spain,Nigeria,ESP,NGA,L
524,1998,1,3,Korea Republic,Mexico,KOR,MEX,L
525,1998,0,0,Netherlands,Belgium,NLD,BEL,D
526,1998,1,0,Argentina,Japan,ARG,JPN,W
527,1998,1,0,Yugoslavia,Iran,YUG,IRN,W
528,1998,1,3,Jamaica,Croatia,JAM,HRV,L
529,1998,2,0,England,Tunisia,ENG,TUN,W
530,1998,1,0,Romania,Colombia,ROU,COL,W
531,1998,2,0,Germany,USA,DEU,USA,W
532,1998,1,1,Scotland,Norway,SCT,NOR,D
533,1998,3,0,Brazil,Morocco,BRA,MAR,W
534,1998,1,1,Chile,Austria,CHL,AUT,D
535,1998,3,0,Italy,Cameroon,ITA,CMR,W
536,1998,1,1,South Africa,Denmark,ZAF,DNK,D
537,1998,4,0,France,Saudi Arabia,FRA,SAU,W
538,1998,1,0,Nigeria,Bulgaria,NGA,BGR,W
539,1998,0,0,Spain,Paraguay,ESP,PRY,D
540,1998,0,1,Japan,Croatia,JPN,HRV,L
541,1998,2,2,Belgium,Mexico,BEL,MEX,D
542,1998,5,0,Netherlands,Korea Republic,NLD,KOR,W
543,1998,2,2,Germany,Yugoslavia,DEU,YUG,D
544,1998,5,0,Argentina,Jamaica,ARG,JAM,W
545,1998,1,2,USA,Iran,USA,IRN,L
546,1998,1,0,Colombia,Tunisia,COL,TUN,W
547,1998,2,1,Romania,England,ROU,ENG,W
548,1998,2,1,Italy,Austria,ITA,AUT,W
549,1998,1,1,Chile,Cameroon,CHL,CMR,D
550,1998,0,3,Scotland,Morocco,SCT,MAR,L
551,1998,1,2,Brazil,Norway,BRA,NOR,L
552,1998,2,1,France,Denmark,FRA,DNK,W
553,1998,2,2,South Africa,Saudi Arabia,ZAF,SAU,D
554,1998,6,1,Spain,Bulgaria,ESP,BGR,W
555,1998,1,3,Nigeria,Paraguay,NGA,PRY,L
556,1998,1,1,Belgium,Korea Republic,BEL,KOR,D
557,1998,2,2,Netherlands,Mexico,NLD,MEX,D
558,1998,2,0,Germany,Iran,DEU,IRN,W
559,1998,0,1,USA,Yugoslavia,USA,YUG,L
560,1998,1,2,Japan,Jamaica,JPN,JAM,L
561,1998,1,0,Argentina,Croatia,ARG,HRV,W
562,1998,1,1,Romania,Tunisia,ROU,TUN,D
563,1998,0,2,Colombia,England,COL,ENG,L
564,1998,1,0,Italy,Norway,ITA,NOR,W
565,1998,4,1,Brazil,Chile,BRA,CHL,W
566,1998,1,0,France,Paraguay,FRA,PRY,W
567,1998,1,4,Nigeria,Denmark,NGA,DNK,L
568,1998,2,1,Germany,Mexico,DEU,MEX,W
569,1998,2,1,Netherlands,Yugoslavia,NLD,YUG,W
570,1998,0,1,Romania,Croatia,ROU,HRV,L
571,1998,2,2,Argentina,England,ARG,ENG,D
572,1998,0,0,Italy,France,ITA,FRA,D
573,1998,3,2,Brazil,Denmark,BRA,DNK,W
574,1998,2,1,Netherlands,Argentina,NLD,ARG,W
575,1998,0,3,Germany,Croatia,DEU,HRV,L
576,1998,1,1,Brazil,Netherlands,BRA,NLD,D
577,1998,2,1,France,Croatia,FRA,HRV,W
578,1998,1,2,Netherlands,Croatia,NLD,HRV,L
579,1998,0,3,Brazil,France,BRA,FRA,L
580,2002,0,1,France,Senegal,FRA,SEN,L
581,2002,1,2,Uruguay,Denmark,URY,DNK,L
582,2002,1,1,"rn"">Republic of Ireland",Cameroon,IRL,CMR,D
583,2002,8,0,Germany,Saudi Arabia,DEU,SAU,W
584,2002,1,0,Argentina,Nigeria,ARG,NGA,W
585,2002,2,2,Paraguay,South Africa,PRY,ZAF,D
586,2002,1,1,England,Sweden,ENG,SWE,D
587,2002,3,1,Spain,Slovenia,ESP,SVN,W
588,2002,2,1,Brazil,Turkey,BRA,TUR,W
589,2002,2,0,Italy,Ecuador,ITA,ECU,W
590,2002,0,1,Croatia,Mexico,HRV,MEX,L
591,2002,0,2,China PR,Costa Rica,CHN,CRI,L
592,2002,2,2,Japan,Belgium,JPN,BEL,D
593,2002,2,0,Korea Republic,Poland,KOR,POL,W
594,2002,2,0,Russia,Tunisia,RUS,TUN,W
595,2002,3,2,USA,Portugal,USA,PRT,W
596,2002,1,1,Germany,"rn"">Republic of Ireland",DEU,IRL,D
597,2002,1,1,Denmark,Senegal,DNK,SEN,D
598,2002,1,0,Cameroon,Saudi Arabia,CMR,SAU,W
599,2002,0,0,France,Uruguay,FRA,URY,D
600,2002,2,1,Sweden,Nigeria,SWE,NGA,W
601,2002,0,1,Argentina,England,ARG,ENG,L
602,2002,3,1,Spain,Paraguay,ESP,PRY,W
603,2002,1,0,South Africa,Slovenia,ZAF,SVN,W
604,2002,4,0,Brazil,China PR,BRA,CHN,W
605,2002,1,2,Italy,Croatia,ITA,HRV,L
606,2002,1,1,Costa Rica,Turkey,CRI,TUR,D
607,2002,1,0,Japan,Russia,JPN,RUS,W
608,2002,2,1,Mexico,Ecuador,MEX,ECU,W
609,2002,1,1,Korea Republic,USA,KOR,USA,D
610,2002,4,0,Portugal,Poland,PRT,POL,W
611,2002,1,1,Tunisia,Belgium,TUN,BEL,D
612,2002,2,0,Denmark,France,DNK,FRA,W
613,2002,3,3,Senegal,Uruguay,SEN,URY,D
614,2002,0,3,Saudi Arabia,"rn"">Republic of Ireland",SAU,IRL,L
615,2002,0,2,Cameroon,Germany,CMR,DEU,L
616,2002,1,1,Sweden,Argentina,SWE,ARG,D
617,2002,0,0,Nigeria,England,NGA,ENG,D
618,2002,1,3,Slovenia,Paraguay,SVN,PRY,L
619,2002,2,3,South Africa,Spain,ZAF,ESP,L
620,2002,2,5,Costa Rica,Brazil,CRI,BRA,L
621,2002,3,0,Turkey,China PR,TUR,CHN,W
622,2002,1,0,Ecuador,Croatia,ECU,HRV,W
623,2002,1,1,Mexico,Italy,MEX,ITA,D
624,2002,0,2,Tunisia,Japan,TUN,JPN,L
625,2002,0,1,Portugal,Korea Republic,PRT,KOR,L
626,2002,3,1,Poland,USA,POL,USA,W
627,2002,3,2,Belgium,Russia,BEL,RUS,W
628,2002,0,3,Denmark,England,DNK,ENG,L
629,2002,1,0,Germany,Paraguay,DEU,PRY,W
630,2002,1,1,Spain,"rn"">Republic of Ireland",ESP,IRL,D
631,2002,1,2,Sweden,Senegal,SWE,SEN,L
632,2002,2,0,Brazil,Belgium,BRA,BEL,W
633,2002,0,2,Mexico,USA,MEX,USA,L
634,2002,0,1,Japan,Turkey,JPN,TUR,L
635,2002,2,1,Korea Republic,Italy,KOR,ITA,W
636,2002,1,2,England,Brazil,ENG,BRA,L
637,2002,1,0,Germany,USA,DEU,USA,W
638,2002,0,1,Senegal,Turkey,SEN,TUR,L
639,2002,0,0,Spain,Korea Republic,ESP,KOR,D
640,2002,1,0,Germany,Korea Republic,DEU,KOR,W
641,2002,1,0,Brazil,Turkey,BRA,TUR,W
642,2002,2,3,Korea Republic,Turkey,KOR,TUR,L
643,2002,0,2,Germany,Brazil,DEU,BRA,L
644,2006,4,2,Germany,Costa Rica,DEU,CRI,W
645,2006,0,2,Poland,Ecuador,POL,ECU,L
646,2006,1,0,England,Paraguay,ENG,PRY,W
647,2006,0,0,"rn"">Trinidad and Tobago",Sweden,TTO,SWE,D
648,2006,2,1,Argentina,C�te d'Ivoire,ARG,CIV,W
649,2006,0,1,"rn"">Serbia and Montenegro",Netherlands,SCG,NLD,L
650,2006,3,1,Mexico,Iran,MEX,IRN,W
651,2006,0,1,Angola,Portugal,AGO,PRT,L
652,2006,3,1,Australia,Japan,AUS,JPN,W
653,2006,0,3,USA,Czech Republic,USA,CZE,L
654,2006,2,0,Italy,Ghana,ITA,GHA,W
655,2006,2,1,Korea Republic,Togo,KOR,TGO,W
656,2006,0,0,France,Switzerland,FRA,CHE,D
657,2006,1,0,Brazil,Croatia,BRA,HRV,W
658,2006,4,0,Spain,Ukraine,ESP,UKR,W
659,2006,2,2,Tunisia,Saudi Arabia,TUN,SAU,D
660,2006,1,0,Germany,Poland,DEU,POL,W
661,2006,3,0,Ecuador,Costa Rica,ECU,CRI,W
662,2006,2,0,England,"rn"">Trinidad and Tobago",ENG,TTO,W
663,2006,1,0,Sweden,Paraguay,SWE,PRY,W
664,2006,6,0,Argentina,"rn"">Serbia and Montenegro",ARG,SCG,W
665,2006,2,1,Netherlands,C�te d'Ivoire,NLD,CIV,W
666,2006,0,0,Mexico,Angola,MEX,AGO,D
667,2006,2,0,Portugal,IR Iran,PRT,IRN,W
668,2006,0,2,Czech Republic,Ghana,CZE,GHA,L
669,2006,1,1,Italy,USA,ITA,USA,D
670,2006,0,0,Japan,Croatia,JPN,HRV,D
671,2006,2,0,Brazil,Australia,BRA,AUS,W
672,2006,1,1,France,Korea Republic,FRA,KOR,D
673,2006,0,2,Togo,Switzerland,TGO,CHE,L
674,2006,0,4,Saudi Arabia,Ukraine,SAU,UKR,L
675,2006,3,1,Spain,Tunisia,ESP,TUN,W
676,2006,0,3,Ecuador,Germany,ECU,DEU,L
677,2006,1,2,Costa Rica,Poland,CRI,POL,L
678,2006,2,2,Sweden,England,SWE,ENG,D
679,2006,2,0,Paraguay,"rn"">Trinidad and Tobago",PRY,TTO,W
680,2006,1,1,Iran,Angola,IRN,AGO,D
681,2006,2,1,Portugal,Mexico,PRT,MEX,W
682,2006,0,0,Netherlands,Argentina,NLD,ARG,D
683,2006,3,2,C�te d'Ivoire,"rn"">Serbia and Montenegro",CIV,SCG,W
684,2006,0,2,Czech Republic,Italy,CZE,ITA,L
685,2006,2,1,Ghana,USA,GHA,USA,W
686,2006,1,4,Japan,Brazil,JPN,BRA,L
687,2006,2,2,Croatia,Australia,HRV,AUS,D
688,2006,1,0,Ukraine,Tunisia,UKR,TUN,W
689,2006,0,1,Saudi Arabia,Spain,SAU,ESP,L
690,2006,0,2,Togo,France,TGO,FRA,L
691,2006,2,0,Switzerland,Korea Republic,CHE,KOR,W
692,2006,2,0,Germany,Sweden,DEU,SWE,W
693,2006,2,1,Argentina,Mexico,ARG,MEX,W
694,2006,1,0,England,Ecuador,ENG,ECU,W
695,2006,1,0,Portugal,Netherlands,PRT,NLD,W
696,2006,1,0,Italy,Australia,ITA,AUS,W
697,2006,0,0,Switzerland,Ukraine,CHE,UKR,D
698,2006,3,0,Brazil,Ghana,BRA,GHA,W
699,2006,1,3,Spain,France,ESP,FRA,L
700,2006,1,1,Germany,Argentina,DEU,ARG,D
701,2006,3,0,Italy,Ukraine,ITA,UKR,W
702,2006,0,0,England,Portugal,ENG,PRT,D
703,2006,0,1,Brazil,France,BRA,FRA,L
704,2006,0,2,Germany,Italy,DEU,ITA,L
705,2006,0,1,Portugal,France,PRT,FRA,L
706,2006,3,1,Germany,Portugal,DEU,PRT,W
707,2006,1,1,Italy,France,ITA,FRA,D
708,2010,1,1,South Africa,Mexico,ZAF,MEX,D
709,2010,0,0,Uruguay,France,URY,FRA,D
710,2010,2,0,Korea Republic,Greece,KOR,GRC,W
711,2010,1,0,Argentina,Nigeria,ARG,NGA,W
712,2010,1,1,England,USA,ENG,USA,D
713,2010,0,1,Algeria,Slovenia,DZA,SVN,L
714,2010,0,1,Serbia,Ghana,SRB,GHA,L
715,2010,4,0,Germany,Australia,DEU,AUS,W
716,2010,2,0,Netherlands,Denmark,NLD,DNK,W
717,2010,1,0,Japan,Cameroon,JPN,CMR,W
718,2010,1,1,Italy,Paraguay,ITA,PRY,D
719,2010,1,1,New Zealand,Slovakia,NZL,SVK,D
720,2010,0,0,C�te d'Ivoire,Portugal,CIV,PRT,D
721,2010,2,1,Brazil,Korea DPR,BRA,PRK,W
722,2010,0,1,Honduras,Chile,HND,CHL,L
723,2010,0,1,Spain,Switzerland,ESP,CHE,L
724,2010,0,3,South Africa,Uruguay,ZAF,URY,L
725,2010,4,1,Argentina,Korea Republic,ARG,KOR,W
726,2010,2,1,Greece,Nigeria,GRC,NGA,W
727,2010,0,2,France,Mexico,FRA,MEX,L
728,2010,0,1,Germany,Serbia,DEU,SRB,L
729,2010,2,2,Slovenia,USA,SVN,USA,D
730,2010,0,0,England,Algeria,ENG,DZA,D
731,2010,1,0,Netherlands,Japan,NLD,JPN,W
732,2010,1,1,Ghana,Australia,GHA,AUS,D
733,2010,1,2,Cameroon,Denmark,CMR,DNK,L
734,2010,0,2,Slovakia,Paraguay,SVK,PRY,L
735,2010,1,1,Italy,New Zealand,ITA,NZL,D
736,2010,3,1,Brazil,C�te d'Ivoire,BRA,CIV,W
737,2010,7,0,Portugal,Korea DPR,PRT,PRK,W
738,2010,1,0,Chile,Switzerland,CHL,CHE,W
739,2010,2,0,Spain,Honduras,ESP,HND,W
740,2010,0,1,Mexico,Uruguay,MEX,URY,L
741,2010,1,2,France,South Africa,FRA,ZAF,L
742,2010,2,2,Nigeria,Korea Republic,NGA,KOR,D
743,2010,0,2,Greece,Argentina,GRC,ARG,L
744,2010,0,1,Slovenia,England,SVN,ENG,L
745,2010,1,0,USA,Algeria,USA,DZA,W
746,2010,0,1,Ghana,Germany,GHA,DEU,L
747,2010,2,1,Australia,Serbia,AUS,SRB,W
748,2010,3,2,Slovakia,Italy,SVK,ITA,W
749,2010,0,0,Paraguay,New Zealand,PRY,NZL,D
750,2010,1,3,Denmark,Japan,DNK,JPN,L
751,2010,1,2,Cameroon,Netherlands,CMR,NLD,L
752,2010,0,0,Portugal,Brazil,PRT,BRA,D
753,2010,0,3,Korea DPR,C�te d'Ivoire,PRK,CIV,L
754,2010,1,2,Chile,Spain,CHL,ESP,L
755,2010,0,0,Switzerland,Honduras,CHE,HND,D
756,2010,2,1,Uruguay,Korea Republic,URY,KOR,W
757,2010,1,2,USA,Ghana,USA,GHA,L
758,2010,4,1,Germany,England,DEU,ENG,W
759,2010,3,1,Argentina,Mexico,ARG,MEX,W
760,2010,2,1,Netherlands,Slovakia,NLD,SVK,W
761,2010,3,0,Brazil,Chile,BRA,CHL,W
762,2010,0,0,Paraguay,Japan,PRY,JPN,D
763,2010,1,0,Spain,Portugal,ESP,PRT,W
764,2010,2,1,Netherlands,Brazil,NLD,BRA,W
765,2010,1,1,Uruguay,Ghana,URY,GHA,D
766,2010,0,4,Argentina,Germany,ARG,DEU,L
767,2010,0,1,Paraguay,Spain,PRY,ESP,L
768,2010,2,3,Uruguay,Netherlands,URY,NLD,L
769,2010,0,1,Germany,Spain,DEU,ESP,L
770,2010,2,3,Uruguay,Germany,URY,DEU,L
771,2010,0,1,Netherlands,Spain,NLD,ESP,L
772,2014,3,1,Brazil,Croatia,BRA,HRV,W
773,2014,1,0,Mexico,Cameroon,MEX,CMR,W
774,2014,1,5,Spain,Netherlands,ESP,NLD,L
775,2014,3,1,Chile,Australia,CHL,AUS,W
776,2014,3,0,Colombia,Greece,COL,GRC,W
777,2014,1,3,Uruguay,Costa Rica,URY,CRI,L
778,2014,1,2,England,Italy,ENG,ITA,L
779,2014,2,1,C�te d'Ivoire,Japan,CIV,JPN,W
780,2014,2,1,Switzerland,Ecuador,CHE,ECU,W
781,2014,3,0,France,Honduras,FRA,HND,W
782,2014,2,1,Argentina,"rn"">Bosnia and Herzegovina",ARG,BIH,W
783,2014,4,0,Germany,Portugal,DEU,PRT,W
784,2014,0,0,IR Iran,Nigeria,IRN,NGA,D
785,2014,1,2,Ghana,USA,GHA,USA,L
786,2014,2,1,Belgium,Algeria,BEL,DZA,W
787,2014,0,0,Brazil,Mexico,BRA,MEX,D
788,2014,1,1,Russia,Korea Republic,RUS,KOR,D
789,2014,2,3,Australia,Netherlands,AUS,NLD,L
790,2014,0,2,Spain,Chile,ESP,CHL,L
791,2014,0,4,Cameroon,Croatia,CMR,HRV,L
792,2014,2,1,Colombia,C�te d'Ivoire,COL,CIV,W
793,2014,2,1,Uruguay,England,URY,ENG,W
794,2014,0,0,Japan,Greece,JPN,GRC,D
795,2014,0,1,Italy,Costa Rica,ITA,CRI,L
796,2014,2,5,Switzerland,France,CHE,FRA,L
797,2014,1,2,Honduras,Ecuador,HND,ECU,L
798,2014,1,0,Argentina,IR Iran,ARG,IRN,W
799,2014,2,2,Germany,Ghana,DEU,GHA,D
800,2014,1,0,Nigeria,"rn"">Bosnia and Herzegovina",NGA,BIH,W
801,2014,1,0,Belgium,Russia,BEL,RUS,W
802,2014,2,4,Korea Republic,Algeria,KOR,DZA,L
803,2014,2,2,USA,Portugal,USA,PRT,D
804,2014,0,3,Australia,Spain,AUS,ESP,L
805,2014,2,0,Netherlands,Chile,NLD,CHL,W
806,2014,1,4,Cameroon,Brazil,CMR,BRA,L
807,2014,1,3,Croatia,Mexico,HRV,MEX,L
808,2014,0,1,Italy,Uruguay,ITA,URY,L
809,2014,0,0,Costa Rica,England,CRI,ENG,D
810,2014,1,4,Japan,Colombia,JPN,COL,L
811,2014,2,1,Greece,C�te d'Ivoire,GRC,CIV,W
812,2014,2,3,Nigeria,Argentina,NGA,ARG,L
813,2014,3,1,"rn"">Bosnia and Herzegovina",IR Iran,BIH,IRN,W
814,2014,0,3,Honduras,Switzerland,HND,CHE,L
815,2014,0,0,Ecuador,France,ECU,FRA,D
816,2014,0,1,USA,Germany,USA,DEU,L
817,2014,2,1,Portugal,Ghana,PRT,GHA,W
818,2014,0,1,Korea Republic,Belgium,KOR,BEL,L
819,2014,1,1,Algeria,Russia,DZA,RUS,D
820,2014,1,1,Brazil,Chile,BRA,CHL,D
821,2014,2,0,Colombia,Uruguay,COL,URY,W
822,2014,2,0,France,Nigeria,FRA,NGA,W
823,2014,2,1,Germany,Algeria,DEU,DZA,W
824,2014,2,1,Brazil,Colombia,BRA,COL,W
825,2014,0,1,France,Germany,FRA,DEU,L
826,2014,1,7,Brazil,Germany,BRA,DEU,L
827,2014,0,3,Brazil,Netherlands,BRA,NLD,L
828,2014,1,0,Germany,Argentina,DEU,ARG,W
829,2014,0,0,Netherlands,Argentina,NLD,ARG,D
830,2014,0,0,Netherlands,Costa Rica,NLD,CRI,D
831,2014,1,0,Argentina,Belgium,ARG,BEL,W
832,2014,2,1,Netherlands,Mexico,NLD,MEX,W
833,2014,1,1,Costa Rica,Greece,CRI,GRC,D
834,2014,1,0,Argentina,Switzerland,ARG,CHE,W
835,2014,2,1,Belgium,USA,BEL,USA,W
836,2014,1,1,Brazil,Chile,BRA,CHL,D
837,2014,2,0,Colombia,Uruguay,COL,URY,W
838,2014,2,1,Netherlands,Mexico,NLD,MEX,W
839,2014,1,1,Costa Rica,Greece,CRI,GRC,D
840,2014,2,0,France,Nigeria,FRA,NGA,W
841,2014,2,1,Germany,Algeria,DEU,DZA,W
842,2014,1,0,Argentina,Switzerland,ARG,CHE,W
843,2014,2,1,Belgium,USA,BEL,USA,W
844,2014,0,1,France,Germany,FRA,DEU,L
845,2014,2,1,Brazil,Colombia,BRA,COL,W
846,2014,1,0,Argentina,Belgium,ARG,BEL,W
847,2014,0,0,Netherlands,Costa Rica,NLD,CRI,D
848,2014,1,7,Brazil,Germany,BRA,DEU,L
849,2014,0,0,Netherlands,Argentina,NLD,ARG,D
850,2014,0,3,Brazil,Netherlands,BRA,NLD,L
851,2014,1,0,Germany,Argentina,DEU,ARG,W
852,2018,5,0,Russia,Saudi Arabia,RUS,SAU,W
853,2018,0,1,Egypt,Uruguay,EGY,URY,L
854,2018,0,1,Morocco,Iran,MAR,IRN,L
855,2018,3,3,Portugal,Spain,PRT,ESP,D
856,2018,2,1,France,Australia,FRA,AUS,W
857,2018,1,1,Argentina,Iceland,ARG,ISL,D
858,2018,0,1,Peru,Denmark,PER,DNK,L
859,2018,2,0,Croatia,Nigeria,HRV,NGA,W
860,2018,0,1,Costa Rica,Serbia,CRI,SRB,L
861,2018,0,1,Germany,Mexico,DEU,MEX,L
862,2018,1,1,Brazil,Switzerland,BRA,CHE,D
863,2018,1,0,Sweden,South Korea,SWE,KOR,W
864,2018,3,0,Belgium,Panama,BEL,PAN,W
865,2018,1,2,Tunisia,England,TUN,ENG,L
866,2018,1,2,Colombia,Japan,COL,JPN,L
867,2018,1,2,Poland,Senegal,POL,SEN,L
868,2018,3,1,Russia,Egypt,RUS,EGY,W
869,2018,1,0,Portugal,Morocco,PRT,MAR,W
870,2018,1,0,Uruguay,Saudi Arabia,URY,SAU,W
871,2018,0,1,Iran,Spain,IRN,ESP,L
872,2018,1,1,Denmark,Australia,DNK,AUS,D
873,2018,1,0,France,Peru,FRA,PER,W
874,2018,0,3,Argentina,Croatia,ARG,HRV,L
875,2018,2,0,Brazil,Costa Rica,BRA,CRI,W
876,2018,2,0,Nigeria,Iceland,NGA,ISL,W
877,2018,1,2,Serbia,Switzerland,SRB,CHE,L
878,2018,5,2,Belgium,Tunisia,BEL,TUN,W
879,2018,1,2,South Korea,Mexico,KOR,MEX,L
880,2018,2,1,Germany,Sweden,DEU,SWE,W
881,2018,6,1,England,Panama,ENG,PAN,W
882,2018,2,2,Japan,Senegal,JPN,SEN,D
883,2018,0,3,Poland,Colombia,POL,COL,L
884,2018,2,1,Saudi Arabia,Egypt,SAU,EGY,W
885,2018,3,0,Uruguay,Russia,URY,RUS,W
886,2018,1,1,Iran,Portugal,IRN,PRT,D
887,2018,2,2,Spain,Morocco,ESP,MAR,D
888,2018,0,2,Australia,Peru,AUS,PER,L
889,2018,0,0,Denmark,France,DNK,FRA,D
890,2018,1,2,Nigeria,Argentina,NGA,ARG,L
891,2018,1,2,Iceland,Croatia,ISL,HRV,L
892,2018,0,3,Mexico,Sweden,MEX,SWE,L
893,2018,2,0,South Korea,Germany,KOR,DEU,W
894,2018,2,2,Switzerland,Costa Rica,CHE,CRI,D
895,2018,0,2,Serbia,Brazil,SRB,BRA,L
896,2018,0,1,Senegal,Colombia,SEN,COL,L
897,2018,0,1,Japan,Poland,JPN,POL,L
898,2018,0,1,England,Belgium,ENG,BEL,L
899,2018,1,2,Panama,Tunisia,PAN,TUN,L
900,2018,4,3,France,Argentina,FRA,ARG,W
901,2018,2,1,Uruguay,Portugal,URY,PRT,W
902,2018,1,1,Spain,Russia,ESP,RUS,D
903,2018,1,1,Croatia,Denmark,HRV,DNK,D
904,2018,2,0,Brazil,Mexico,BRA,MEX,W
905,2018,3,2,Belgium,Japan,BEL,JPN,W
906,2018,1,0,Sweden,Switzerland,SWE,CHE,W
907,2018,1,1,Colombia,England,COL,ENG,D
908,2018,0,2,Uruguay,France,URY,FRA,L
909,2018,1,2,Brazil,Belgium,BRA,BEL,L
910,2018,0,2,Sweden,England,SWE,ENG,L
911,2018,2,2,Russia,Croatia,RUS,HRV,D
912,2018,1,0,France,Belgium,FRA,BEL,W
913,2018,2,1,Croatia,England,HRV,ENG,W
914,2018,2,0,Belgium,England,BEL,ENG,W
915,2018,4,2,Croatia,France,HRV,FRA,W
916,2022,0,2,QATAR,ECUADOR,QAT,ECU,L
917,2022,6,2,ENGLAND,IRAN,ENG,IRN,W
918,2022,0,2,SENEGAL,NETHERLANDS,SEN,NLD,L
919,2022,1,1,UNITED STATES,WALES,USA,WLS,D
920,2022,1,2,ARGENTINA,SAUDI ARABIA,ARG,SAU,L
921,2022,0,0,DENMARK,TUNISIA,DNK,TUN,D
922,2022,0,0,MEXICO,POLAND,MEX,POL,D
923,2022,4,1,FRANCE,AUSTRALIA,FRA,AUS,W
924,2022,0,0,MOROCCO,CROATIA,MAR,HRV,D
925,2022,1,2,GERMANY,JAPAN,DEU,JPN,L
926,2022,7,0,SPAIN,COSTA RICA,ESP,CRI,W
927,2022,1,0,BELGIUM,CANADA,BEL,CAN,W
928,2022,1,0,SWITZERLAND,CAMEROON,CHE,CMR,W
929,2022,0,0,URUGUAY,KOREA REPUBLIC,URY,KOR,D
930,2022,3,2,PORTUGAL,GHANA,PRT,GHA,W
931,2022,2,0,BRAZIL,SERBIA,BRA,SRB,W
932,2022,0,2,WALES,IRAN,WLS,IRN,L
933,2022,1,3,QATAR,SENEGAL,QAT,SEN,L
934,2022,1,1,NETHERLANDS,ECUADOR,NLD,ECU,D
935,2022,0,0,ENGLAND,UNITED STATES,ENG,USA,D
936,2022,0,1,TUNISIA,AUSTRALIA,TUN,AUS,L
937,2022,2,0,POLAND,SAUDI ARABIA,POL,SAU,W
938,2022,2,1,FRANCE,DENMARK,FRA,DNK,W
939,2022,2,0,ARGENTINA,MEXICO,ARG,MEX,W
940,2022,0,1,JAPAN,COSTA RICA,JPN,CRI,L
941,2022,0,2,BELGIUM,MOROCCO,BEL,MAR,L
942,2022,4,1,CROATIA,CANADA,HRV,CAN,W
943,2022,1,1,SPAIN,GERMANY,ESP,DEU,D
944,2022,3,3,CAMEROON,SERBIA,CMR,SRB,D
945,2022,2,3,KOREA REPUBLIC,GHANA,KOR,GHA,L
946,2022,1,0,BRAZIL,SWITZERLAND,BRA,CHE,W
947,2022,2,0,PORTUGAL,URUGUAY,PRT,URY,W
